huJZybGG98I	9	Σάββας Καλεντερίδης	Αποκλειστική συνέντευξη του πρώην αξιωματικού της CIA Τζων Κυριακού (Greek)
r9-zsOJsCY0	11	zouglagr	Ο πρώην πράκτορας της CIA Τζον Κυριάκου μιλά ανοιχτά για την Ελλάδα και τις προκλήσεις (Greek)
eQ8KyLSp9aI	9	Χρήστος Κωνσταντινίδης	Συνέντευξη με τον πρώην αξιωματικό της CIA Τζων Κυριακού (Greek)
gYIewDz5Q-c	85	Militaire News	Ο Τ.Κυριακού πρώην πράκτορας της CIA μιλά για όλα στον Αλ.Τσίγγο - Τι λέει για τη 17 Νοέμβρη (Greek)
QkcNo1XF92c	3	Nationalpost TV	Πρώην πράκτορας της CIA Τζον Κυριάκου: Ο Τραμπ στήνει παγίδα στην Τεχεράνη (Greek)
_H0D8LbhHWM	3	Pentapostagma TV	Πρώην πράκτορας CIA: Ο Νετανιάχου είπε στον Τραμπ ότι θα χτυπήσει με πυρηνικά το Ιράν (Greek)
8CaxAqpMzhI	3	Nationalpost TV	Αποκάλυψη βόμβα από Κυριάκου: Ο Τραμπ χτύπησε το Ιράν γιατί έλαβε πυρηνικό τελεσίγραφο από Ισραήλ (Greek)
GDtYT5Bzux8	3	Nationalpost TV	Ελληνοαμερικανός πρώην πράκτορας CIA αποκαλύπτει - Αυτές οι χώρες θα βοηθούσαν την Ελλάδα σε πόλεμο (Greek)
oAgBgV-tS3M	3	Pentapostagma TV	Ελληνοαμερικανός πρώην πράκτορας της CIA: Κακώς στην Ελλάδα στηρίζουν από τώρα την πολιτική Τραμπ (Greek)
BZThgNB4qIc	54	العربي - أخبار	جاسوس أميركي يكشف طريقة تجنيده وخبايا مهماته السرية - جون كيرياكو - وفي رواية أخرى ج1 (Arabic)
lhX9bjdYaQU	50	العربي - أخبار	كيف انتقمت سي آي إيه من ضابطها الذي فضح برنامجها للتعذيب؟ - جون كيرياكو - ج4 (Arabic)
Et93Sc4bQWc	50	العربي - أخبار	ضابط السي آي إيه يفضح برنامج الوكالة السري للتعذيب - جون كيرياكو - ج3 (Arabic)
AFn6we3pR7U	7	بدون ورق+	كيف قمت بتجنيد رجل استخبارات شرق أوسطي؟ - جون كيرياكو (Arabic)
LjBCKQYdB3U	3	AlArabiya العربية	فضح جون كيرياكو أسرارا كبيرة عن المخابرات الأميركية وتحول لخائن بعد أن كان بطلا (Arabic)
mUeTxPRrYXU	3	AlJazeera Arabic	ضابط سابق في الاستخبارات الأمريكية: إسرائيل طلبت من كل رئيس أمريكي قصف إيران - مقابلة الجزيرة (Arabic)
6GRPgGQX_5M	4	AlJazeera Arabic	ضابط استخبارات أمريكي سابق للجزيرة: إسرائيل حاولت تجنيدي - جون كيرياكو (Arabic)
3CSvSw_UWD8	25	AlJazeera Arabic	لقاء اليوم | الأسرار والانتهاكات في سجون أمريكا - جون كيرياكو (Arabic)
ztdzNcmU8FU	7	Republic World	US Runs Pak's Nuclear Strength? Ex-CIA John Kiriakou Decodes Trump-Shehbaz Nuke Secrets (India)
JJXG3YkVdGY	5	TOI Bharat	'Pakistan Will Lose Any Conventional War Against India': Ex-CIA Agent Kiriakou | Op Sindoor (India)
uTIi8cou10U	6	TOI Bharat	'Wiped My A** With It': Ex-CIA Kiriakou Reveals What He Did With Pak Letter (India)
7e8WruFn070	18	ANI News	Ex-CIA Agent Kiriakou: The U.S. Was Waiting for India to Attack Pakistan (India)
WtmKVHRei9s	4	ANI News	Ex-CIA Agent Kiriakou Explains Why Pakistan Stands No Chance Against India (India)
9jbpBecvpQ0	28	Afshin Rattansi's Going Underground	CIA Whistleblower John Kiriakou REVEALS ALL on US-Israel Alliance, Warns of Disaster in Venezuela (UK/intl)
aYzvjRksz9Q	27	Mario Nawfal	'Always Watch The Naval Movements' - Ex-CIA Officer John Kyriakou on Trump, Venezuela & Drugs (intl)
-v55tpm11J8	37	LADbible Stories	The CIA Officer Who Exposed America's Torture Programme | Minutes With - John Kiriakou (UK)
Y-T1JZ3Tj7s	7	Unfiltered With S.A.M.	JOHN KIRIAKOU: Venezuela Wasn't About Oil - It Was About the Dollar
kj_agEYf1yY	7	Unfiltered With S.A.M.	JOHN KIRIAKOU: There Is NO Good Guy in U.S. Politics
XXrxAMIULBo	24	Insider	CIA Officer John Kiriakou Rates 9 Counterterrorism Scenes In Movies | How Real Is It?
WRJzaHMj2IY	37	GQ	Ex-CIA Officer John Kiriakou Breaks Down Spy Movies
YsxanhM3CS4	9	Katie Halper	Formerly Incarcerated CIA Agent John Kiriakou: The Prison System Is Broken
elg4ufjFRSQ	123	Katie Halper	CIA Whistleblower John Kiriakou On Declassified 9/11 Documents
xeL0QGTHOho	58	Danny Jones	Ex-CIA Spy Breaks Down How He Captured Abu Zubaydah | John Kiriakou
m6YVXC1HGsw	69	DCM TV	EXCLUSIVO: Parceria Lava Jato-EUA foi movida por ódio e dinheiro, diz ex-agente da CIA John Kiriakou (Portuguese)
