jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	1:30:27	His assessment of Epstein has evolved: previously an Israeli access agent, he now judges Epstein a sophisticated intelligence peddler or broker not exclusive to any one service.	my thinking has changed on this has evolved on this
jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	1:30:57	An intelligence peddler in the ordinary sense is a man who overhears something and sells it to the American, British, French, Russian and Chinese embassies in turn, making six months' salary; Epstein's version was far more sophisticated because his material came from Bill Clinton, Bill Gates, Alan Dershowitz and Prince Andrew.	that's an intelligence peddler
jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	1:33:30	The latest documents show Epstein had some association with MI5 and MI6, made an approach to German intelligence, and negotiated for a one-on-one meeting with Vladimir Putin, refusing the Russians' offer of a meeting with three other people present.	he tried hard to get a one-on-one meeting with Vladimir Putin
jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	1:32:29	Through his attorney Epstein actively sought an admission from the CIA, and separately from the National Security Council, that he was associated with them; there is no sign either responded.	he was actively seeking an admission by the CIA that he was somehow associated with the CIA
jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	1:45:30	He never once heard Jeffrey Epstein's name mentioned during his CIA career, including a period spent daily on the seventh floor with the director and deputy directors, though he cautions this does not necessarily signify anything.	never once did his name ever come up
jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	1:24:46	The operation makes no sense to him except as blackmail collection.	what's the point of running the operation if it's not to collect compromat
jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	1:29:26	He rejects the argument that Epstein's blackmail was defensive: keeping one story in reserve is different from collecting intelligence on everybody twenty-four hours a day.	I just don't buy the argument that it was defensive in nature
mossad	2026-02-23-epstein-lies-satanic-elite-mossad	1:25:18	CIA doctrine disliked coercive recruitment by compromising photographs, preferring a relationship the source enters willingly and usually for money; the Russians and the Israelis both use coercion.	you don't want to threaten people the Russians do that the Israelis also do that
mossad	2026-02-23-epstein-lies-satanic-elite-mossad	1:44:59	Mossad is very good at spotting talent, and the speed at which Epstein's career moved and his wealth accumulated indicates to him that Epstein connected with an official body early.	tells me that he connected with an official body early on
mossad	2026-02-23-epstein-lies-satanic-elite-mossad	2:52:33	Emails show the Israeli mission to the UN coordinating from 2016 to install alarm sensors and surveillance equipment at Epstein's Manhattan building, with Ehud Barak's former head of security controlling access, vetting cleaners and remotely disabling alarms.	it sure seems that way
NEW:adnan-khashoggi	2026-02-23-epstein-lies-satanic-elite-mossad	1:38:45	Adnan Khashoggi was a Saudi arms dealer and fixer, friend of kings, presidents and prime ministers, and the uncle of the murdered Washington Post columnist Jamal Khashoggi.	Saudi man about the world fixer friend of kings and presidents and prime ministers
NEW:adnan-khashoggi	2026-02-23-epstein-lies-satanic-elite-mossad	1:40:19	After Congress barred arming the Contras in 1983, Oliver North routed around the law through Khashoggi, who took payment for illegal arms sales to Iran through his own Cyprus bank account, kept ten percent, and passed the rest to accounts controlled by North, John Poindexter and Richard Secord.	he was Mr. 10%
NEW:adnan-khashoggi	2026-02-23-epstein-lies-satanic-elite-mossad	1:41:21	Everyone involved in the scheme was indicted and nobody was really punished; Khashoggi took his money and returned to his yacht.	an Kashokchi just took his money and smiled and got back on the yacht
NEW:adnan-khashoggi	2026-02-23-epstein-lies-satanic-elite-mossad	1:42:23	Khashoggi, like Marc Rich, would deal with anyone who could pay — Israelis, Americans, Libyans, North Koreans alike.	it just it didn't make any difference
NEW:adnan-khashoggi	2026-02-23-epstein-lies-satanic-elite-mossad	1:46:30	Khashoggi's name came up constantly at the CIA, unlike Epstein's, because he could do anything and would do anything provided there was a large payment at the end.	he could do anything and he was willing to do anything
NEW:gerald-bull-supergun	2026-02-23-epstein-lies-satanic-elite-mossad	2:08:17	One of the first things Kiriakou learned in his first week at the CIA was that Iraq had bought a supergun designed by the Belgian engineer Gerald Bull, so large it had to be leaned against a mountainside and aimed approximately, capable of throwing a shell as far as a missile.	you just had to sort of lean the barrel up against the side of a mountain
NEW:gerald-bull-supergun	2026-02-23-epstein-lies-satanic-elite-mossad	2:09:18	Nobody else would buy the gun; when repeated test firings cracked the barrel, Bull proposed lining it with what he called a condom to damp the reverberation, and was assassinated by the Israelis before he could test it.	the Israelis assassinated him
NEW:gerald-bull-supergun	2026-02-23-epstein-lies-satanic-elite-mossad	2:09:49	A week into the job he asked his boss whether the supergun was a joke and was told it was deadly serious.	no no this is deadly serious it's a giant gun
jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	2:10:51	Asked whether the Iran-Contra period is where Epstein would have been recruited, he answers yes, and says the sequence makes sense when the episodes are laid out in a line.	when you put all of these episodes together in a line that would make sense to me
jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	2:12:23	Had he been the CIA officer who encountered an unexplained American in the middle of a compartmented operation, he would have asked the White House who he was and then told the FBI to open a file on him as a possible future counterintelligence problem; there is no sign this was ever done.	it doesn't look like that was ever done
jeffrey-epstein	2026-02-23-epstein-lies-satanic-elite-mossad	2:13:27	He concludes Epstein must have had protection at the White House at the time, somewhere between 1981 and 1985.	he had to have had protection at the White House
NEW:epstein-sweetheart-deal-2006	2026-02-23-epstein-lies-satanic-elite-mossad	1:44:11	Alexander Acosta has said he was ordered to give Epstein the 2006 plea deal, and only the attorney general can order a U.S. attorney; the attorney general was Alberto Gonzales, whom Kiriakou describes as legendary for his powerlessness.	he was like legendary for his powerlessness
NEW:epstein-sweetheart-deal-2006	2026-02-23-epstein-lies-satanic-elite-mossad	1:45:16	The unanswered question is who was close enough to Epstein to intervene — Bush or Cheney — and Kiriakou believes Acosta genuinely does not know, having been told only that Epstein belonged to intelligence.	nobody has ever answered that question
NEW:epstein-sweetheart-deal-2006	2026-02-23-epstein-lies-satanic-elite-mossad	1:31:07	He expects no criminal charges against anyone, only civil suits, because the statute of limitations on child sex crimes is five years and has run.	there aren't going to be any charges against anybody
